Page Path,Base Url
/products/mobile-computers/wearable-computers/wt41n0-vow.html,https://www.zebra.com/us/en
/products/mobile-computers/wearable-computers/wt41n0-vow/wt41n0_vow_wearable_.html,https://www.zebra.com/us/en
/products/mobile-computers/wearable-computers/rch51.html,https://www.zebra.com/us/en
/products/mobile-computers/rfid-handhelds.html,https://www.zebra.com/us/en
/products/mobile-computers/rfid-handhelds/mc3190-z-handheld-rfid-reader.html,https://www.zebra.com/us/en
/products/mobile-computers/rfid-handhelds/mc3190-z-handheld-rfid-reader/mc3190_z_spec_sheet.html,https://www.zebra.com/us/en
/products/mobile-computers/rfid-handhelds/mc9190-z-rfid.html,https://www.zebra.com/us/en
/products/mobile-computers/rfid-handhelds/mc9190-z-rfid/mc9190z_spe.html,https://www.zebra.com/us/en
/products/mobile-computers/rfid-handhelds/rfd5500.html,https://www.zebra.com/us/en
/products/mobile-computers/rfid-handhelds/rfd5500/rfd5500_spe.html,https://www.zebra.com/us/en
/products/mobile-computers/rfid-handhelds/rfd8500.html,https://www.zebra.com/us/en
/products/printers.html,https://www.zebra.com/us/en
/products/printers/desktop.html,https://www.zebra.com/us/en
/products/printers/desktop/performance-desktop-printers.html,https://www.zebra.com/us/en
/products/printers/desktop/advanced-desktop-printers.html,https://www.zebra.com/us/en
/products/printers/desktop/value-desktop-printers.html,https://www.zebra.com/us/en
/products/printers/desktop/compact-desktop-printers.html,https://www.zebra.com/us/en
/products/printers/desktop/cartridge-based-wristband-printers.html,https://www.zebra.com/us/en
/products/printers/desktop/gx420rx.html,https://www.zebra.com/us/en
/products/printers/industrial.html,https://www.zebra.com/us/en
/products/printers/industrial/xi-series.html,https://www.zebra.com/us/en
/products/printers/industrial/z-series.html,https://www.zebra.com/us/en
/products/printers/industrial/105sl.html,https://www.zebra.com/us/en
/products/printers/industrial/s4m.html,https://www.zebra.com/us/en
/products/printers/industrial/zt200-series.html,https://www.zebra.com/us/en
/products/printers/industrial/105slplus.html,https://www.zebra.com/us/en
/products/printers/industrial/zt400-series.html,https://www.zebra.com/us/en
/products/printers/card.html,https://www.zebra.com/us/en
/products/printers/card/zxp-series-3.html,https://www.zebra.com/us/en
/products/printers/card/zxp-series-8.html,https://www.zebra.com/us/en
/products/printers/card/quikcard-id.html,https://www.zebra.com/us/en
/products/printers/card/performance-class.html,https://www.zebra.com/us/en
/products/printers/card/zxp-series-7.html,https://www.zebra.com/us/en
/products/printers/card/zxp-series-1.html,https://www.zebra.com/us/en
/products/printers/mobile.html,https://www.zebra.com/us/en
/products/printers/mobile/rw-series.html,https://www.zebra.com/us/en
/products/printers/mobile/qln-series.html,https://www.zebra.com/us/en
/products/printers/mobile/p4t.html,https://www.zebra.com/us/en
/products/printers/mobile/ql-plus-series.html,https://www.zebra.com/us/en
/products/printers/mobile/mz-series.html,https://www.zebra.com/us/en
/products/printers/mobile/em-220.html,https://www.zebra.com/us/en
/products/printers/mobile/em-220ii.html,https://www.zebra.com/us/en
/products/printers/mobile/qln-series-hc.html,https://www.zebra.com/us/en
/products/printers/mobile/zq110.html,https://www.zebra.com/us/en
/products/printers/mobile/zq500.html,https://www.zebra.com/us/en
/products/printers/rfid.html,https://www.zebra.com/us/en
/products/printers/rfid/r110xi4.html,https://www.zebra.com/us/en
/products/printers/rfid/rz-series.html,https://www.zebra.com/us/en
/products/printers/rfid/rpax.html,https://www.zebra.com/us/en
/products/printers/rfid/r2844-z.html,https://www.zebra.com/us/en
/products/printers/rfid/zd500r.html,https://www.zebra.com/us/en
/products/printers/rfid/zt400-rfid.html,https://www.zebra.com/us/en
/products/printers/rfid/ze500r.html,https://www.zebra.com/us/en
/products/printers/kiosk.html,https://www.zebra.com/us/en
/products/printers/kiosk/kr200-series.html,https://www.zebra.com/us/en
/products/printers/kiosk/kr400-series.html,https://www.zebra.com/us/en
/products/printers/kiosk/ttp-2000-series.html,https://www.zebra.com/us/en
/products/printers/kiosk/ttp-8000-series.html,https://www.zebra.com/us/en
/products/printers/kiosk/ttp-2100-series.html,https://www.zebra.com/us/en
/products/printers/print-engines.html,https://www.zebra.com/us/en
/products/printers/print-engines/pax.html,https://www.zebra.com/us/en
/products/printers/print-engines/ze500.html,https://www.zebra.com/us/en
/products/scanners.html,https://www.zebra.com/us/en
